index,filename,code_available,hyperparameters_detailed,env_version_specified,year,conference,conf_id,seeds,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,algorithm_0,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6
18,Near-Optimal Algorithms for Autonomous Exploration and Multi-Goal Stochastic Shortest Path.pdf,False,False,False,2022,icml,icml_2022,0,state-action\s+pairs,,,,,,,ppo,dqn,sac,,,,
19,Cascaded Gaps Towards Logarithmic Regret for Risk-Sensitive Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,0,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,,dqn,sac,,,,,
20,Bisimulation Makes Analogies in Goal-Conditioned Reinforcement Learning.pdf,False,True,False,2022,icml,icml_2022,1-5,(?:discount|reward)\s+function,,,,,,,dqn,,,,,,
21,OFA Unifying Architectures Tasks and Modalities Through a Simple Sequence-to-Sequence Learning Frame.pdf,True,True,False,2022,icml,icml_2022,0,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,,,,,,
22,EAT-C Environment-Adversarial sub-Task Curriculum for Efficient Reinforcement Learning.pdf,True,True,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,,sac,,,,,,
23,Offline Meta-Reinforcement Learning with Online Self-Supervision.pdf,True,True,False,2022,icml,icml_2022,1-5,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
24,Retrieval-Augmented Reinforcement Learning.pdf,True,False,False,2022,icml,icml_2022,1-5,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,,,,,pets,dqn,,,,,
25,Influence-Augmented Local Simulators a Scalable Solution for Fast Deep RL in Large Networked Systems.pdf,False,False,False,2022,icml,icml_2022,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
26,A Natural Actor-Critic Framework for Zero-Sum Markov Games.pdf,False,True,False,2022,icml,icml_2022,6-10,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,,,,,,ppo,,,,,,
27,Individual Reward Assisted Multi-Agent Reinforcement Learning.pdf,True,False,False,2022,icml,icml_2022,1-5,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
28,Self-Organized Polynomial-Time Coordination Graphs.pdf,True,False,False,2022,icml,icml_2022,over 10,action-value\s+function,,,,,,,ppo,dqn,sac,,,,
29,Reward-Free RL is No Harder Than Reward-Aware RL in Linear Markov Decision Processes.pdf,False,False,False,2022,icml,icml_2022,0,action-value\s+function,(?:discount|reward)\s+function,,,,,,ppo,dqn,,,,,
30,Biological Sequence Design with GFlowNets.pdf,True,True,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
31,A State-Distribution Matching Approach to Non-Episodic Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,dqn,sac,,,,,
32,Addressing Optimism Bias in Sequence Modeling for Reinforcement Learning.pdf,True,False,False,2022,icml,icml_2022,1-5,(?:discount|reward)\s+function,,,,,,,ppo,dqn,,,,,
33,Nearly Minimax Optimal Reinforcement Learning with Linear Function Approximation.pdf,False,False,False,2022,icml,icml_2022,0,value\s+function\s+approximation,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,,,,,,
34,Topology-Aware Network Pruning using Multi-stage Graph Embedding and Reinforcement Learning.pdf,True,True,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,ddpg,,,,
35,Efficient Distributionally Robust Bayesian Optimization with Worst-case Sensitivity.pdf,True,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
36,Plan Your Target and Learn Your Skills Transferable State-Only Imitation Learning via Decoupled Poli.pdf,True,False,False,2022,icml,icml_2022,1-5,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,sac,,,,,
37,Training Characteristic Functions with Reinforcement Learning XAI-methods play Connect Four.pdf,True,False,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,dqn,,,,,
38,Deep Hierarchy in Bandits.pdf,False,False,False,2022,icml,icml_2022,6-10,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
39,Phasic Self-Imitative Reduction for Sparse-Reward Goal-Conditioned Reinforcement Learning.pdf,False,True,False,2022,icml,icml_2022,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,,,,,,
40,Policy Diagnosis via Measuring Role Diversity in Cooperative Multi-agent RL.pdf,False,False,False,2022,icml,icml_2022,6-10,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,trpo,dqn,ddpg,sac,a2c,ppo,
41,Choosing Answers in Epsilon-Best-Answer Identification for Linear Bandits.pdf,False,False,False,2022,icml,icml_2022,over 10,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
42,The Importance of Non-Markovianity in Maximum State Entropy Exploration.pdf,False,False,False,2022,icml,icml_2022,over 10,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,(?:discount|reward)\s+function,,,,,other,,,,,,
43,A Reduction from Linear Contextual Bandits Lower Bounds to Estimations Lower Bounds.pdf,False,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
44,Learning Pseudometric-based Action Representations for Offline Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,0,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,trpo,ppo,dqn,sac,,,
45,On the Hidden Biases of Policy Mirror Ascent in Continuous Action Spaces.pdf,False,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,dqn,ddpg,,,,
46,Disentangling Sources of Risk for Distributional Multi-Agent Reinforcement Learning.pdf,True,False,False,2022,icml,icml_2022,1-5,action-value\s+function,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
47,Supervised Off-Policy Ranking.pdf,True,False,False,2022,icml,icml_2022,1-5,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,dqn,sac,,,,,
48,Rotting Infinitely Many-Armed Bandits.pdf,True,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
49,Human-in-the-loop Provably Efficient Preference-based Reinforcement Learning with General Function A.pdf,False,True,False,2022,icml,icml_2022,0,value\s+function\s+approximation,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
50,Why Should I Trust You Bellman The Bellman Error is a Poor Replacement for Value Error.pdf,True,False,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,trpo,dqn,sac,td3,ppo,,
51,Cliff Diving Exploring Reward Surfaces in Reinforcement Learning Environments.pdf,True,False,False,2022,icml,icml_2022,6-10,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,trpo,ppo,a2c,,,,
52,Mirror Learning A Unifying Framework of Policy Optimisation.pdf,True,True,False,2022,icml,icml_2022,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,a3c,ppo,dqn,,,
53,A Hierarchical Bayesian Approach to Inverse Reinforcement Learning with Symbolic Reward Machines.pdf,True,False,False,2022,icml,icml_2022,0,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,,,,,,
54,Decentralized Online Convex Optimization in Networked Systems.pdf,False,False,False,2022,icml,icml_2022,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
55,A Self-Play Posterior Sampling Algorithm for Zero-Sum Markov Games.pdf,False,False,False,2022,icml,icml_2022,0,value\s+function\s+approximation,action-value\s+function,state-action\s+pairs,,,,,ppo,dqn,,,,,
56,On the Impossibility of Learning to Cooperate with Adaptive Partner Strategies in Repeated Games.pdf,False,False,False,2022,icml,icml_2022,0,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,,,,,,
57,Learning-based Optimisation of Particle Accelerators Under Partial Observability Without Real-World .pdf,True,True,False,2022,icml,icml_2022,0,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,dqn,,,,,
58,Estimating and Penalizing Induced Preference Shifts in Recommender Systems.pdf,False,False,False,2022,icml,icml_2022,1-5,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,pets,ppo,,,,,
59,Making Linear MDPs Practical via Contrastive Representation Learning.pdf,False,False,False,2022,icml,icml_2022,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
60,Delayed Reinforcement Learning by Imitation.pdf,False,False,False,2022,icml,icml_2022,over 10,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,trpo,ppo,sac,,,,
61,REvolveR Continuous Evolutionary Models for Robot-to-robot Policy Transfer.pdf,True,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
62,Koopman Q-learning Offline Reinforcement Learning via Symmetries of Dynamics.pdf,False,False,False,2022,icml,icml_2022,1-5,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
63,On Improving Model-Free Algorithms for Decentralized Multi-Agent Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,over 10,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
64,Reinforcement Learning from Partial Observation Linear Function Approximation with Provable Sample E.pdf,False,False,False,2022,icml,icml_2022,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,ppo,,,,,,
65,Nearly Optimal Policy Optimization with Stable at Any Time Guarantee.pdf,False,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,(?:discount|reward)\s+function,,,,,trpo,ppo,dqn,sac,,,
66,Modeling Strong and Human-Like Gameplay with KL-Regularized Search.pdf,True,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
67,Saute RL Almost Surely Safe Reinforcement Learning Using State Augmentation.pdf,True,True,False,2022,icml,icml_2022,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,state-action\s+pairs,,,,,,trpo,ppo,sac,pets,,,
68,Contextual Bandits with Large Action Spaces Made Practical.pdf,True,True,False,2022,icml,icml_2022,over 10,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,,,,,,
69,A Simple Reward-free Approach to Constrained Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
70,Biased Gradient Estimate with Drastic Variance Reduction for Meta Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,over 10,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,trpo,ppo,,,,,
71,CtrlFormer Learning Transferable State Representation for Visual Control via Transformer.pdf,False,False,False,2022,icml,icml_2022,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,dreamer,ppo,dqn,sac,,,
72,Sample and Communication-Efficient Decentralized Actor-Critic Algorithms with Finite-Time Analysis.pdf,False,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
73,Thresholded Lasso Bandit.pdf,True,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
74,DRIBO Robust Deep Reinforcement Learning via Multi-View Information Bottleneck.pdf,False,False,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,dreamer,ppo,dqn,sac,,,
75,Analysis of Stochastic Processes through Replay Buffers.pdf,False,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
76,Revisiting Some Common Practices in Cooperative Multi-Agent Reinforcement Learning.pdf,False,True,False,2022,icml,icml_2022,6-10,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,dqn,,,,,
77,Reducing Variance in Temporal-Difference Value Estimation via Ensemble of Deep Networks.pdf,True,False,False,2022,icml,icml_2022,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,dqn,,,,,
78,Recurrent Model-Free RL Can Be a Strong Baseline for Many POMDPs.pdf,True,True,False,2022,icml,icml_2022,over 10,(?:discount|reward)\s+function,,,,,,,td3,ppo,sac,a2c,,,
79,Guarantees for Epsilon-Greedy Reinforcement Learning with Function Approximation.pdf,False,False,False,2022,icml,icml_2022,0,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
80,Planning with Diffusion for Flexible Behavior Synthesis.pdf,True,False,False,2022,icml,icml_2022,over 10,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,pets,dreamer,ppo,dqn,,,
81,The Geometry of Robust Value Functions.pdf,False,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
82,Regularizing a Model-based Policy Stationary Distribution to Stabilize Offline Reinforcement Learnin.pdf,False,True,False,2022,icml,icml_2022,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,td3,ppo,sac,,,,
83,How to Stay Curious while avoiding Noisy TVs using Aleatoric Uncertainty Estimation.pdf,True,True,False,2022,icml,icml_2022,1-5,(?:discount|reward)\s+function,,,,,,,ppo,dqn,,,,,
84,On Well-posedness and Minimax Optimal Rates of Nonparametric Q-function Estimation in Off-policy Eva.pdf,False,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,,,,,,
85,The Primacy Bias in Deep Reinforcement Learning.pdf,True,True,False,2022,icml,icml_2022,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,dqn,sac,,,,
86,Robust Policy Learning over Multiple Uncertainty Sets.pdf,False,False,False,2022,icml,icml_2022,6-10,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
87,Shuffle Private Linear Contextual Bandits.pdf,True,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
88,RieszNet and ForestRiesz Automatic Debiased Machine Learning with Neural Nets and Random Forests.pdf,True,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,,,,,,
89,Improved Regret for Differentially Private Exploration in Linear MDP.pdf,False,False,False,2022,icml,icml_2022,0,action-value\s+function,(?:discount|reward)\s+function,,,,,,ppo,,,,,,
90,Bayesian Optimization under Stochastic Delayed Feedback.pdf,True,True,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
91,Controlling Conditional Language Models without Catastrophic Forgetting.pdf,True,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,sac,,,,,
92,Leveraging Approximate Symbolic Models for Reinforcement Learning via Skill Diversity.pdf,True,False,False,2022,icml,icml_2022,6-10,(?:discount|reward)\s+function,,,,,,,ppo,dqn,,,,,
93,AnyMorph Learning Transferable Polices By Inferring Agent Morphology.pdf,False,True,False,2022,icml,icml_2022,1-5,(?:discount|reward)\s+function,,,,,,,td3,ppo,,,,,
94,Cooperative Online Learning in Stochastic and Adversarial MDPs.pdf,False,False,False,2022,icml,icml_2022,0,state-action\s+pairs,,,,,,,dqn,sac,,,,,
95,Scalable Deep Reinforcement Learning Algorithms for Mean Field Games.pdf,True,False,False,2022,icml,icml_2022,0,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
96,Off-Policy Reinforcement Learning with Delayed Rewards.pdf,False,False,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,td3,ppo,dqn,sac,,,
97,Robust Imitation Learning against Variations in Environment Dynamics.pdf,True,False,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,trpo,ppo,sac,a2c,,,
98,Sample-Efficient Reinforcement Learning with loglogT Switching Cost.pdf,False,False,False,2022,icml,icml_2022,0,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,,,,,,
99,Blocks Assemble Learning to Assemble with Large-Scale Structured Reinforcement Learning.pdf,True,False,False,2022,icml,icml_2022,1-5,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,,,,,,
100,Learning Iterative Reasoning through Energy Minimization.pdf,False,False,False,2022,icml,icml_2022,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,other,,,,,,
101,Langevin Monte Carlo for Contextual Bandits.pdf,True,True,False,2022,icml,icml_2022,6-10,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
102,Pessimism meets VCG Learning Dynamic Mechanism Design via Offline Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
103,Learning from a Learning User for Optimal Recommendations.pdf,False,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
104,Greedy based Value Representation for Optimal Coordination in Multi-agent Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,1-5,(?:discount|reward)\s+function,,,,,,,ppo,dqn,,,,,
105,Regret Bounds for Stochastic Shortest Path Problems with Linear Function Approximation.pdf,False,False,False,2022,icml,icml_2022,0,action-value\s+function,state-action\s+pairs,,,,,,ppo,,,,,,
106,A Single-Loop Gradient Descent and Perturbed Ascent Algorithm for Nonconvex Functional Constrained O.pdf,False,False,False,2022,icml,icml_2022,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,ppo,sac,,,,,
107,Evolving Curricula with Regret-Based Environment Design.pdf,True,True,False,2022,icml,icml_2022,over 10,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
108,Utility Theory for Sequential Decision Making.pdf,False,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
109,Difference Advantage Estimation for Multi-Agent Policy Gradients.pdf,False,False,False,2022,icml,icml_2022,1-5,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,ppo,dqn,ddpg,sac,,,
110,Reachability Constrained Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,1-5,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,sac,,,,,,
111,Asking for Knowledge AFK Training RL Agents to Query External Knowledge Using Language.pdf,False,False,False,2022,icml,icml_2022,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,dqn,,,,,
112,Temporal Difference Learning for Model Predictive Control.pdf,True,True,False,2022,icml,icml_2022,6-10,value\s+function\s+approximation,(?:discount|reward)\s+function,,,,,,dqn,ddpg,sac,td-mpc,ppo,dreamer,
113,Goal Misgeneralization in Deep Reinforcement Learning.pdf,True,False,False,2022,icml,icml_2022,6-10,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
114,Stabilizing Off-Policy Deep Reinforcement Learning from Pixels.pdf,True,False,False,2022,icml,icml_2022,6-10,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,,,,,,ppo,sac,,,,,
115,Policy Gradient Method For Robust Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,action-value\s+function,,,,,trpo,ppo,sac,,,,
116,The Neural Race Reduction Dynamics of Abstraction in Gated Networks.pdf,True,False,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
117,Efficient Model-based Multi-agent Reinforcement Learning via Optimistic Equilibrium Computation.pdf,False,False,False,2022,icml,icml_2022,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
118,Model-Value Inconsistency as a Signal for Epistemic Uncertainty.pdf,False,True,False,2022,icml,icml_2022,over 10,action-value\s+function,(?:discount|reward)\s+function,,,,,,dreamer,dqn,sac,,,,
119,Learning Stochastic Shortest Path with Linear Function Approximation.pdf,False,False,False,2022,icml,icml_2022,over 10,value\s+function\s+approximation,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,ppo,dqn,,,,,
120,PAGE-PG A Simple and Loopless Variance-Reduced Policy Gradient Method with Probabilistic Gradient Es.pdf,False,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,a2c,,,,,
121,Provably Efficient Offline Reinforcement Learning for Partially Observable Markov Decision Processes.pdf,False,False,False,2022,icml,icml_2022,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,(?:discount|reward)\s+function,,,,other,,,,,,
122,Deconfounded Value Decomposition for Multi-Agent Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,6-10,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
123,Feature and Parameter Selection in Stochastic Linear Bandits.pdf,False,False,False,2022,icml,icml_2022,over 10,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
124,How to Leverage Unlabeled Data in Offline Reinforcement Learning.pdf,True,True,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
125,Adversarially Trained Actor Critic for Offline Reinforcement Learning.pdf,True,True,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,td3,ppo,sac,,,,
126,Lagrangian Method for Q-Function Learning with Applications to Machine Translation.pdf,True,False,False,2022,icml,icml_2022,0,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
127,Improved No-Regret Algorithms for Stochastic Shortest Path with Linear MDP.pdf,False,False,False,2022,icml,icml_2022,0,value\s+function\s+approximation,action-value\s+function,state-action\s+pairs,,,,,ppo,dqn,,,,,
128,Online Decision Transformer.pdf,True,True,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
129,Learning Infinite-horizon Average-reward Markov Decision Process with Constraints.pdf,False,True,False,2022,icml,icml_2022,0,action-value\s+function,(?:discount|reward)\s+function,,,,,,other,,,,,,
130,MASER Multi-Agent Reinforcement Learning with Subgoals Generated from Experience Replay Buffer.pdf,True,True,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,(?:discount|reward)\s+function,,,,,ppo,dqn,,,,,
131,Balancing Sample Efficiency and Suboptimality in Inverse Reinforcement Learning.pdf,False,False,False,2022,icml,icml_2022,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,,ppo,,,,,,
132,Divergence-Regularized Multi-Agent Actor-Critic.pdf,True,True,False,2022,icml,icml_2022,1-5,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,(?:discount|reward)\s+function,,,,,trpo,ppo,dqn,sac,,,
133,Model-Free Opponent Shaping.pdf,True,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,,,,,,
134,Model-based Meta Reinforcement Learning using Graph Structured Surrogate Models and Amortized Policy.pdf,True,False,False,2022,icml,icml_2022,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,state-action\s+pairs,(?:discount|reward)\s+function,,,ppo,,,,,,
135,Reinforcement Learning with Action-Free Pre-Training from Videos.pdf,True,False,False,2022,icml,icml_2022,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,dreamer,,,,,
136,Constrained Offline Policy Optimization.pdf,False,False,False,2022,icml,icml_2022,over 10,action-value\s+function,(?:discount|reward)\s+function,,,,,,ppo,dqn,sac,,,,
137,Learning Bellman Complete Representations for Offline Policy Evaluation.pdf,True,False,False,2022,icml,icml_2022,0,value\s+function\s+approximation,state-action\s+pairs,(?:discount|reward)\s+function,,,,,dreamer,ppo,sac,,,,
138,Unified Scaling Laws for Routed Language Models.pdf,True,False,False,2022,icml,icml_2022,0,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,,,,,,
139,Bayesian Nonparametrics for Offline Skill Discovery.pdf,True,False,False,2022,icml,icml_2022,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,,,,,,
140,Greedy when Sure and Conservative when Uncertain about the Opponents.pdf,True,False,False,2022,icml,icml_2022,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,trpo,ppo,dqn,,,,
141,POEM Out-of-Distribution Detection with Posterior Sampling.pdf,True,False,False,2022,icml,icml_2022,0,(?:discount|reward)\s+function,,,,,,,other,,,,,,
142,Discriminator-Weighted Offline Imitation Learning from Suboptimal Demonstrations.pdf,True,False,False,2022,icml,icml_2022,1-5,state-action\s+pairs,(?:discount|reward)\s+function,,,,,,trpo,ppo,dqn,sac,,,
